strategy,droneCount,maxAngle,droneID,timeStamp,x,y
decentralizedWeighted,20,45.0,32111592899,5667,-71.3759460449219,63.5505561828613
decentralizedWeighted,20,45.0,32296142286,5667,-114.251274108887,-74.2832565307617
decentralizedWeighted,20,45.0,32480691673,5667,-33.8036804199219,34.3028602600098
decentralizedWeighted,20,45.0,32665241060,5667,-51.3986015319824,59.3993225097656
decentralizedWeighted,20,45.0,32849790447,5667,-104.608047485352,75.9984130859375
decentralizedWeighted,20,45.0,33034339834,5667,-157.757827758789,-39.1818161010742
decentralizedWeighted,20,45.0,33218889221,5667,-128.357635498047,30.08762550354
decentralizedWeighted,20,45.0,33403438608,5667,-92.3988647460938,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,5667,-111.69172668457,11.5922718048096
decentralizedWeighted,20,45.0,33772537382,5667,-111.363433837891,-56.6584587097168
decentralizedWeighted,20,45.0,33957086769,5667,-90.8407516479492,-69.5954437255859
decentralizedWeighted,20,45.0,34141636156,5667,-188.090972900391,-21.9841136932373
decentralizedWeighted,20,45.0,34326185543,5667,-57.5764312744141,-58.075309753418
decentralizedWeighted,20,45.0,34510734930,5667,-70.7415390014648,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,5667,-137.41911315918,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,5667,-134.938552856445,50.6376304626465
decentralizedWeighted,20,45.0,35064383091,5667,-103.859550476074,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,5667,-48.1672019958496,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,5667,-148.792358398438,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,5765,-127.529487609863,-38.2118148803711
decentralizedWeighted,20,45.0,32111592899,5765,-71.3759460449219,59.3838958740234
decentralizedWeighted,20,45.0,32296142286,5765,-114.251274108887,-78.4499359130859
decentralizedWeighted,20,45.0,32480691673,5765,-32.9703483581543,30.136194229126
decentralizedWeighted,20,45.0,32665241060,5765,-51.3986015319824,54.3993301391602
decentralizedWeighted,20,45.0,32849790447,5765,-99.6080322265625,75.9984130859375
decentralizedWeighted,20,45.0,33034339834,5765,-152.757858276367,-39.1818161010742
decentralizedWeighted,20,45.0,33218889221,5765,-124.190956115723,30.08762550354
decentralizedWeighted,20,45.0,33403438608,5765,-87.3988494873047,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,5765,-111.69172668457,16.5922698974609
decentralizedWeighted,20,45.0,33772537382,5765,-111.363433837891,-51.6584663391113
decentralizedWeighted,20,45.0,33957086769,5765,-85.8407363891602,-69.5954437255859
decentralizedWeighted,20,45.0,34141636156,5765,-183.091003417969,-21.9841136932373
decentralizedWeighted,20,45.0,34326185543,5765,-52.5764389038086,-58.075309753418
decentralizedWeighted,20,45.0,34510734930,5765,-65.7415237426758,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,5765,-132.419143676758,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,5765,-129.938583374023,50.6376304626465
decentralizedWeighted,20,45.0,35064383091,5765,-98.8595352172852,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,5765,-43.1672096252441,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,5765,-143.792388916016,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,5865,-127.529487609863,-34.0451545715332
decentralizedWeighted,20,45.0,32111592899,5865,-71.3759460449219,59.3838958740234
decentralizedWeighted,20,45.0,32296142286,5865,-113.417938232422,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,5865,-27.9703464508057,30.136194229126
decentralizedWeighted,20,45.0,32665241060,5865,-51.3986015319824,49.3993377685547
decentralizedWeighted,20,45.0,32849790447,5865,-94.6080169677734,75.9984130859375
decentralizedWeighted,20,45.0,33034339834,5865,-147.757888793945,-39.1818161010742
decentralizedWeighted,20,45.0,33218889221,5865,-123.357620239258,34.2542915344238
decentralizedWeighted,20,45.0,33403438608,5865,-82.3988342285156,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,5865,-111.69172668457,11.5922718048096
decentralizedWeighted,20,45.0,33772537382,5865,-111.363433837891,-46.6584739685059
decentralizedWeighted,20,45.0,33957086769,5865,-80.8407211303711,-69.5954437255859
decentralizedWeighted,20,45.0,34141636156,5865,-178.091033935547,-21.9841136932373
decentralizedWeighted,20,45.0,34326185543,5865,-51.743106842041,-54.7419815063477
decentralizedWeighted,20,45.0,34510734930,5865,-60.7415237426758,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,5865,-127.419166564941,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,5865,-124.938583374023,50.6376304626465
decentralizedWeighted,20,45.0,35064383091,5865,-93.8595199584961,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,5865,-38.1672172546387,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,5865,-138.792419433594,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,5966,-127.529487609863,-29.0451545715332
decentralizedWeighted,20,45.0,32111592899,5966,-71.3759460449219,64.3838882446289
decentralizedWeighted,20,45.0,32296142286,5966,-108.417922973633,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,5966,-22.9703426361084,30.136194229126
decentralizedWeighted,20,45.0,32665241060,5966,-51.3986015319824,44.3993453979492
decentralizedWeighted,20,45.0,32849790447,5966,-89.6080017089844,75.9984130859375
decentralizedWeighted,20,45.0,33034339834,5966,-147.757888793945,-43.3484764099121
decentralizedWeighted,20,45.0,33218889221,5966,-118.357604980469,34.2542915344238
decentralizedWeighted,20,45.0,33403438608,5966,-77.3988189697266,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,5966,-111.69172668457,6.59227275848389
decentralizedWeighted,20,45.0,33772537382,5966,-111.363433837891,-41.6584815979004
decentralizedWeighted,20,45.0,33957086769,5966,-75.840705871582,-69.5954437255859
decentralizedWeighted,20,45.0,34141636156,5966,-173.091064453125,-21.9841136932373
decentralizedWeighted,20,45.0,34326185543,5966,-51.743106842041,-49.7419891357422
decentralizedWeighted,20,45.0,34510734930,5966,-55.7415313720703,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,5966,-122.419151306152,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,5966,-123.271911621094,53.1376266479492
decentralizedWeighted,20,45.0,35064383091,5966,-88.859504699707,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,5966,-33.1672248840332,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,5966,-133.792449951172,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6067,-127.529487609863,-27.3784866333008
decentralizedWeighted,20,45.0,32111592899,6067,-67.2092666625977,65.2172241210938
decentralizedWeighted,20,45.0,32296142286,6067,-103.417907714844,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,6067,-17.9703388214111,30.136194229126
decentralizedWeighted,20,45.0,32665241060,6067,-51.3986015319824,39.3993530273438
decentralizedWeighted,20,45.0,32849790447,6067,-89.6080017089844,71.8317337036133
decentralizedWeighted,20,45.0,33034339834,6067,-146.091232299805,-46.6818046569824
decentralizedWeighted,20,45.0,33218889221,6067,-113.35758972168,34.2542915344238
decentralizedWeighted,20,45.0,33403438608,6067,-72.3988037109375,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,6067,-110.858390808105,2.42560529708862
decentralizedWeighted,20,45.0,33772537382,6067,-111.363433837891,-36.6584892272949
decentralizedWeighted,20,45.0,33957086769,6067,-70.840690612793,-69.5954437255859
decentralizedWeighted,20,45.0,34141636156,6067,-168.091094970703,-21.9841136932373
decentralizedWeighted,20,45.0,34326185543,6067,-51.743106842041,-44.7419967651367
decentralizedWeighted,20,45.0,34510734930,6067,-50.7415390014648,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,6067,-117.419136047363,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,6067,-118.271896362305,53.1376266479492
decentralizedWeighted,20,45.0,35064383091,6067,-83.859489440918,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,6067,-28.1672229766846,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,6067,-128.79248046875,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6165,-127.529487609863,-27.3784866333008
decentralizedWeighted,20,45.0,32111592899,6165,-62.2092628479004,65.2172241210938
decentralizedWeighted,20,45.0,32296142286,6165,-98.4178924560547,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,6165,-12.9703388214111,30.136194229126
decentralizedWeighted,20,45.0,32665241060,6165,-51.3986015319824,34.3993606567383
decentralizedWeighted,20,45.0,32849790447,6165,-89.6080017089844,66.8317184448242
decentralizedWeighted,20,45.0,33034339834,6165,-141.091262817383,-46.6818046569824
decentralizedWeighted,20,45.0,33218889221,6165,-111.69091796875,36.7542877197266
decentralizedWeighted,20,45.0,33403438608,6165,-67.3987884521484,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,6165,-105.858375549316,2.42560529708862
decentralizedWeighted,20,45.0,33772537382,6165,-111.363433837891,-39.9918174743652
decentralizedWeighted,20,45.0,33957086769,6165,-65.8406753540039,-69.5954437255859
decentralizedWeighted,20,45.0,34141636156,6165,-165.591110229492,-20.3174457550049
decentralizedWeighted,20,45.0,34326185543,6165,-51.743106842041,-39.7420043945313
decentralizedWeighted,20,45.0,34510734930,6165,-45.7415466308594,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,6165,-112.419120788574,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,6166,-113.271881103516,53.1376266479492
decentralizedWeighted,20,45.0,35064383091,6166,-78.8594741821289,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,6166,-23.1672191619873,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,6166,-123.792465209961,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6266,-127.529487609863,-30.7118225097656
decentralizedWeighted,20,45.0,32111592899,6267,-57.2092704772949,65.2172241210938
decentralizedWeighted,20,45.0,32296142286,6267,-93.4178771972656,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,6267,-7.97034025192261,30.136194229126
decentralizedWeighted,20,45.0,32665241060,6267,-48.0652732849121,32.7326965332031
decentralizedWeighted,20,45.0,32849790447,6267,-89.6080017089844,61.831714630127
decentralizedWeighted,20,45.0,33034339834,6267,-136.091293334961,-46.6818046569824
decentralizedWeighted,20,45.0,33218889221,6267,-110.857582092285,32.9830741882324
decentralizedWeighted,20,45.0,33403438608,6267,-62.3987808227539,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,6267,-100.858360290527,2.42560529708862
decentralizedWeighted,20,45.0,33772537382,6267,-111.363433837891,-44.9918098449707
decentralizedWeighted,20,45.0,33957086769,6267,-60.8406753540039,-69.5954437255859
